"Name";"Constituency";"Minister";"Attendance";"Debates";"Questions";"Private Member Bills";"State";"Party";"Nature of membership";"Start of Term";"End of Term";"No. of Term";"Age";"Gender";"Education";"Comment";"Lok Sabha";"Debates (Ls - Matters Under (Rule-377))";"Debates (Special Mention)";"Debates (Government Bills)";"Debates (Motion Of Thanks On The President'S Address)";"Debates (Private Members' Bills)";"Debates (Ls - Short Duration Discussions (Rule-193))";"Debates (Budget (General))";"Debates (Motion Of Thanks On The President�S Address)";"Questions (Development Of North Eastern Region)";"Questions (Law And Justice)";"Questions (Health And Family Welfare)";"Questions (Minority Affairs)";"Questions (Textiles)";"Questions (Railways)";"Questions (Home Affairs)";"Questions (Environment, Forest And Climate Change)";"Questions (Tourism)";"Questions (Culture)";"Questions (Ayush)";"Questions (Ports, Shipping And Waterways)";"Questions (Jal Shakti)";"Questions (Communications)";"Questions (Planning)";"Questions (Agriculture And Farmers Welfare)";"Questions (Finance)";"Questions (Prime Minister)";"Questions (Women And Child Development)";"Questions (Road Transport And Highways)";"Questions (Social Justice And Empowerment)";"Questions (Coal)";"Questions (Parliamentary Affairs)";"Questions (Tribal Affairs)";"Questions (Education)";"Questions (External Affairs)";"Questions (Civil Aviation)";"Questions (Commerce And Industry)";"Questions (Statistics And Programme Implementation)";"Questions (Power)";"Questions (Labour And Employment)";"Questions (Steel)";"Questions (Defence)";"Questions (Consumer Affairs, Food And Public Distribution)";"Questions (Electronics And Information Technology)";"Questions (Rural Development)";"Questions (Panchayati Raj)";"Questions (Information And Broadcasting)";"Questions (Youth Affairs And Sports)";"Questions (Corporate Affairs)";"Questions (Heavy Industries And Public Enterprises)";"Questions (Housing And Urban Affairs)";"Questions (Petroleum And Natural Gas)";"Questions (Skill Development And Entrepreneurship)";"Questions (Micro, Small And Medium Enterprises)";"Questions (Human Resource Development)";"Questions (Shipping)";"Questions (Earth Sciences)";"Questions (Food Processing Industries)";"Questions (Mines)";"Questions (Cooperation)";"Questions (Chemicals And Fertilizers)";"Questions (Fisheries, Animal Husbandry And Dairying)";"Questions (New And Renewable Energy)";"Questions (Science And Technology)";"Questions (Statiscs And Programme Implementation)";"Debates (Others)";"Debates (Discussion)";"Debates (Private Members' Resolutions)";"Debates (Submissions By Members)";"Debates (Statement By Minister)";"Debates (Clarification On The Statement By Minister)";"Debates (Felicitations)";"Questions (Consumer Affairs)";"Questions (Micro)";"Debates (Ls - Half-An-Hour Discussions (Rule-55))";"Questions (Atomic Energy)";"Questions (Heavy Industries)";"Questions (Space)";"Questions (Personnel, Public Grievances And Pensions)"
"Agatha K. Sangma";"Tura";"No";"71.60%";"20";"40";"0";"Meghalaya";"National Peoples Party";"Elected";"23-05-2019";"In Office";"Third Term";"43";"Female";"Post Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"2";"4";"4";"2";"0";"2";"6";"0";"2";"1";"5";"0";"3";"0";"2";"1";"1";"0";"0";"0";"1";"0";"0";"2";"0";"0";"2";"3";"0";"0";"0";"0";"4";"1";"0";"0";"1";"0";"0";"0";"1";"3";"1";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ajay Bhatt";"Nainital-Udhamsingh Nagar";"Yes";"98.60%";"48";"45";"3";"Uttarakhand";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"63";"Male";"Professional Graduate";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"6";"22";"5";"1";"0";"2";"11";"1";"0";"0";"6";"0";"0";"6";"0";"0";"3";"0";"2";"0";"1";"1";"0";"2";"0";"0";"1";"6";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0";"3";"0";"1";"0";"0";"1";"1";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ajay Kumar Mandal";"Bhagalpur";"No";"41.27%";"25";"226";"0";"Bihar";"Janata Dal (United)";"Elected";"23-05-2019";"In Office";"First Term";"53";"Male";"Under Matric";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"2";"22";"0";"0";"0";"0";"0";"0";"0";"0";"22";"0";"5";"18";"0";"12";"6";"4";"6";"0";"10";"1";"2";"6";"5";"0";"13";"10";"6";"5";"0";"0";"14";"0";"2";"3";"0";"7";"6";"0";"1";"6";"3";"12";"2";"0";"3";"0";"0";"9";"6";"3";"2";"0";"0";"1";"3";"1";"0";"3";"7";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ajay Misra Teni";"Kheri";"Yes";"94.40%";"56";"160";"4";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Second Term";"63";"Male";"Professional Graduate";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"19";"8";"9";"2";"1";"0";"14";"1";"0";"2";"20";"0";"0";"16";"4";"5";"2";"1";"6";"0";"6";"5";"0";"14";"10";"0";"1";"3";"0";"0";"0";"1";"1";"5";"2";"6";"1";"0";"4";"0";"3";"2";"2";"3";"0";"1";"0";"0";"0";"7";"5";"3";"4";"11";"0";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ajay Nishad";"Muzaffarpur";"No";"94.00%";"34";"184";"0";"Bihar";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Second Term";"57";"Male";"Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"21";"12";"0";"1";"0";"0";"0";"0";"0";"5";"15";"3";"3";"5";"2";"8";"5";"2";"3";"0";"2";"3";"1";"12";"5";"2";"5";"2";"1";"5";"0";"2";"7";"1";"8";"9";"0";"4";"6";"5";"1";"4";"2";"5";"0";"0";"6";"1";"1";"1";"4";"3";"8";"4";"0";"1";"1";"0";"0";"5";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ajay Singh Dharmendra Deol";"Gurdaspur";"No";"14.27%";"0";"4";"0";"Punjab";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"66";"Male";"Information Not Available";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ajay Tamta";"Almora";"No";"89.53%";"14";"9";"0";"Uttarakhand";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Second Term";"51";"Male";"Inter/ Higher Secondary";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"3";"0";"0";"0";"0";"11";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Akhilesh Yadav";"Azamgarh";"No";"30.87%";"5";"0";"0";"Uttar Pradesh";"Samajwadi Party";"Elected";"23-05-2019";"22-03-2022";"Fourth Term";"50";"Male";"Post Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"0";"2";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"A.K.P. Chinraj";"Namakkal";"No";"74.07%";"12";"263";"0";"Tamil Nadu";"Dravida Munnetra Kazhagam";"Elected";"23-05-2019";"In Office";"First Term";"58";"Male";"Information Not Available";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"5";"4";"0";"2";"0";"0";"1";"0";"0";"16";"30";"0";"2";"17";"15";"12";"1";"2";"1";"0";"2";"2";"0";"11";"17";"6";"1";"6";"4";"3";"0";"1";"11";"5";"24";"4";"1";"3";"5";"0";"6";"6";"3";"7";"1";"1";"1";"1";"2";"3";"9";"1";"5";"5";"2";"0";"1";"2";"0";"1";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Akshaibar Lal";"Bahraich";"No";"82.13%";"11";"14";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"77";"Male";"Matric";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"2";"3";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"5";"0";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Alok Kumar Suman";"Gopalganj";"No";"97.13%";"104";"270";"15";"Bihar";"Janata Dal (United)";"Elected";"23-05-2019";"In Office";"First Term";"66";"Male";"Professional Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"31";"36";"17";"3";"0";"3";"13";"1";"0";"2";"22";"0";"1";"22";"3";"7";"2";"2";"12";"1";"9";"2";"3";"10";"4";"7";"6";"11";"5";"0";"0";"1";"10";"5";"9";"4";"3";"0";"14";"0";"7";"4";"1";"11";"4";"1";"3";"1";"2";"5";"11";"11";"5";"8";"0";"0";"6";"1";"0";"3";"6";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Amar Singh";"Fatehgarh Sahib";"No";"86.33%";"56";"217";"0";"Punjab";"Indian National Congress";"Elected";"23-05-2019";"In Office";"First Term";"70";"Male";"Professional Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"28";"13";"0";"0";"5";"8";"1";"1";"2";"19";"1";"1";"5";"3";"8";"4";"2";"6";"1";"11";"2";"0";"11";"6";"0";"8";"3";"4";"2";"0";"1";"7";"3";"11";"5";"3";"1";"8";"2";"5";"7";"11";"5";"1";"1";"2";"1";"2";"6";"5";"7";"7";"1";"0";"0";"0";"3";"0";"9";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Amit Anil Chandra Shah";"Gandhinagar";"Yes";"";"0";"0";"0";"Gujarat";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"59";"Male";"Professional Graduate";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Amol Ramsing Kolhe";"Shirur";"No";"62.53%";"29";"621";"0";"Maharashtra";"Nationalist Congress Party";"Elected";"23-05-2019";"In Office";"First Term";"43";"Male";"Professional Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"11";"2";"4";"0";"4";"6";"1";"0";"15";"69";"3";"18";"33";"14";"9";"11";"11";"20";"1";"9";"9";"1";"40";"25";"1";"13";"16";"8";"19";"0";"0";"27";"5";"11";"16";"1";"8";"15";"4";"5";"17";"5";"4";"1";"10";"16";"2";"1";"28";"11";"5";"15";"12";"4";"0";"8";"3";"1";"6";"14";"13";"7";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Anant Kumar Hegde";"Uttara Kannada";"No";"64.33%";"0";"18";"0";"Karnataka";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Sixth Term";"55";"Male";"Inter/ Higher Secondary";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"1";"4";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Andimuthu Raja";"Nilgiris";"No";"74.07%";"43";"271";"2";"Tamil Nadu";"Dravida Munnetra Kazhagam";"Elected";"23-05-2019";"In Office";"Fifth Term";"60";"Male";"Post Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"8";"5";"21";"0";"0";"2";"3";"0";"0";"6";"11";"1";"6";"20";"13";"14";"5";"3";"2";"1";"6";"10";"1";"11";"17";"3";"6";"6";"4";"3";"0";"2";"7";"8";"15";"4";"1";"5";"5";"2";"10";"3";"8";"4";"0";"4";"1";"2";"3";"9";"5";"3";"4";"6";"0";"2";"1";"0";"0";"2";"3";"0";"3";"0";"1";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Anil Firojiya";"Ujjain";"No";"80.00%";"27";"274";"0";"Madhya Pradesh";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"52";"Male";"Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"17";"2";"0";"0";"3";"5";"0";"0";"9";"19";"5";"8";"12";"3";"6";"4";"6";"11";"3";"9";"3";"0";"8";"5";"1";"6";"14";"8";"5";"0";"3";"6";"2";"6";"3";"0";"5";"8";"7";"4";"5";"4";"7";"5";"2";"8";"7";"1";"4";"9";"5";"5";"4";"0";"1";"3";"3";"0";"9";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Annasaheb Shankar Jolle";"Chikkodi";"No";"74.80%";"9";"308";"0";"Karnataka";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"60";"Male";"Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"1";"1";"0";"0";"1";"6";"0";"0";"2";"15";"2";"5";"10";"7";"9";"12";"8";"4";"0";"11";"2";"1";"13";"8";"7";"9";"13";"5";"1";"0";"8";"12";"7";"12";"8";"3";"5";"7";"0";"11";"7";"3";"11";"6";"3";"9";"5";"1";"5";"4";"3";"4";"4";"0";"3";"3";"0";"5";"6";"2";"5";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Annpurna Devi";"Kodarma";"Yes";"77.60%";"31";"97";"0";"Jharkhand";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"54";"Female";"Post Graduate";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"10";"12";"1";"0";"0";"0";"7";"1";"0";"1";"8";"0";"5";"7";"3";"5";"1";"3";"1";"0";"2";"4";"2";"2";"6";"0";"2";"7";"5";"1";"0";"1";"1";"1";"0";"1";"0";"1";"1";"0";"0";"2";"0";"1";"0";"2";"4";"2";"0";"1";"3";"3";"0";"4";"0";"0";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Anto Antony";"Pathanamthitta";"No";"82.40%";"61";"386";"2";"Kerala";"Indian National Congress";"Elected";"23-05-2019";"In Office";"Third Term";"66";"Male";"Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"15";"27";"5";"2";"0";"0";"10";"1";"0";"14";"50";"4";"2";"13";"25";"9";"5";"0";"3";"1";"9";"6";"0";"19";"37";"5";"11";"11";"0";"1";"0";"2";"8";"10";"23";"16";"4";"6";"16";"0";"5";"11";"8";"6";"0";"2";"4";"2";"7";"8";"10";"1";"0";"1";"0";"1";"0";"1";"1";"3";"0";"5";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
