"Name";"Constituency";"Attendance";"Debates";"Questions";"Bills";"State";"Party";"Nature of membership";"Start of Term";"End of Term";"No. of Term";"Age";"Gender";"Education";"Lok Sabha";"Debates (Ls - Matters Under (Rule-377))";"Debates (Special Mention)";"Debates (Government Bills)";"Debates (Budget (General))";"Debates (Ls - Short Duration Discussions (Rule-193))";"Debates (Budget (Railways))";"Debates (Submissions By Members)";"Debates (Motion Of Thanks On The President'S Address)";"Questions (Housing And Urban Affairs)";"Questions (Steel)";"Questions (Women And Child Development)";"Questions (Home Affairs)";"Questions (Finance)";"Questions (Defence)";"Questions (Health And Family Welfare)";"Questions (Civil Aviation)";"Questions (Railways)";"Questions (Commerce And Industry)";"Questions (Drinking Water And Sanitation)";"Questions (Coal)";"Questions (Water Resources, River Development And Ganga Rejuvenation)";"Questions (External Affairs)";"Questions (Textiles)";"Questions (Urban Development)";"Questions (Prime Minister)";"Questions (Shipping)";"Questions (Housing And Urban Poverty Alleviation)";"Questions (Communications And Information Technology)";"Questions (Rural Development)";"Questions (Labour And Employment)";"Questions (Culture)";"Questions (Power)";"Questions (Agriculture And Farmers Welfare)";"Questions (Human Resource Development)";"Questions (Agriculture)";"Questions (Road Transport And Highways)";"Questions (Minority Affairs)";"Questions (Mines)";"Questions (Heavy Industries And Public Enterprises)";"Questions (Environment, Forests And Climate Change)";"Questions (Consumer Affairs, Food And Public Distribution)";"Questions (Petroleum And Natural Gas)";"Questions (New And Renewable Energy)";"Questions (Tourism)";"Questions (Information And Broadcasting)";"Questions (Social Justice And Empowerment)";"Questions (Micro, Small And Medium Enterprises)";"Debates (Private Members' Resolutions)";"Debates (Ls - Calling Attention (Rule-197))";"Questions (Communications)";"Questions (Environment, Forest And Climate Change)";"Questions (Food Processing Industries)";"Questions (Tribal Affairs)";"Questions (Electronics And Information Technology)";"Questions (Youth Affairs And Sports)";"Questions (Chemicals And Fertilizers)";"Questions (Panchayati Raj)";"Questions (Ayush)";"Questions (Science And Technology)";"Questions (Law And Justice)";"Questions (Statistics And Programme Implementation)";"Questions (Skill Development And Entrepreneurship)";"Questions (Corporate Affairs)";"Questions (Earth Sciences)";"Questions (Skill Development, Entrepreneurship, Youth Affairs And Sports)";"Questions (Development Of North Eastern Region)";"Debates (Private Members' Bills)";"Debates (Statutory Resolution And Government Bill)";"Questions (Planning)";"Questions (Water Resources)";"Debates (Government Resolutions)";"Questions (Overseas Indian Affairs)";"Debates (Others)";"Debates (Adjournment Motion)";"Questions (Personnel, Public Grievances And Pensions)";"Debates (Felicitations)";"Questions (Parliamentary Affairs)";"Debates (Ls - No-Confidence Motion (Rule-198))";"Debates (Clarification On The Statement By Minister)";"Debates (Statutory Resolutions)";"Debates (Budget (States))";"Debates (Ls - Half-An-Hour Discussions (Rule-55))";"Debates (Ls - Personal Explanation By Members (Rule-357))";"Questions (Atomic Energy)"
"Alok Sanjar";"Bhopal";"96.82%";"123";"412";"3";"Madhya Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"56";"Male";"Professional Graduate";"16th";"4";"98";"1";"9";"1";"2";"4";"3";"2";"5";"11";"9";"27";"9";"19";"9";"15";"12";"5";"6";"9";"10";"6";"5";"4";"4";"4";"5";"16";"7";"6";"10";"8";"18";"2";"4";"3";"4";"7";"4";"12";"11";"9";"1";"9";"13";"6";"0";"0";"4";"7";"4";"8";"8";"11";"7";"5";"2";"3";"7";"0";"5";"4";"4";"0";"2";"0";"0";"3";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Amarinder Singh";"Amritsar";"6.90%";"4";"18";"0";"Punjab";"Indian National Congress";"Elected";"18-May-14";"23-11-2016";"Second";"77";"Male";"Graduate";"16th";"0";"2";"0";"0";"1";"0";"0";"1";"0";"0";"0";"2";"0";"3";"1";"1";"1";"0";"0";"1";"1";"4";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Anandrao Adsul";"Amravati";"84.88%";"64";"1062";"2";"Maharashtra";"Shiv Sena";"Elected";"18-May-14";"In office";"Fifth";"71";"Male";"Graduate";"16th";"2";"16";"24";"5";"2";"1";"3";"4";"9";"3";"22";"34";"50";"34";"78";"29";"93";"41";"10";"7";"29";"10";"21";"15";"7";"6";"8";"30";"26";"22";"4";"32";"57";"71";"24";"42";"0";"8";"6";"10";"29";"32";"11";"12";"8";"6";"10";"1";"1";"14";"13";"13";"1";"8";"3";"16";"2";"5";"9";"1";"2";"4";"4";"4";"2";"0";"0";"0";"9";"6";"1";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Anant Kumar Hegde";"Uttara Kannada";"96.33%";"1";"245";"0";"Karnataka";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Fifth";"50";"Male";"Inter/ Higher Secondary";"16th";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"5";"31";"0";"4";"0";"8";"13";"6";"2";"7";"14";"1";"4";"10";"1";"2";"5";"6";"13";"0";"14";"10";"7";"9";"7";"0";"0";"2";"7";"13";"14";"3";"0";"3";"0";"0";"0";"0";"0";"0";"2";"1";"4";"0";"3";"1";"0";"0";"2";"1";"1";"1";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Anbumani Ramadoss";"Dharmapuri";"42.35%";"12";"51";"0";"Tamil Nadu";"Pattali Makkal Katchi";"Elected";"18-May-14";"In office";"First";"50";"Male";"Professional Graduate";"16th";"0";"6";"1";"2";"0";"1";"0";"0";"0";"2";"0";"0";"3";"7";"9";"2";"2";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"3";"1";"1";"1";"0";"0";"0";"0";"4";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"3";"0";"0";"0";"0";"2";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"Anil Shirole";"Pune";"93.41%";"18";"208";"0";"Maharashtra";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"68";"Male";"Graduate";"16th";"2";"8";"3";"2";"0";"2";"0";"1";"5";"2";"5";"4";"9";"2";"9";"8";"10";"5";"5";"3";"2";"4";"2";"3";"3";"2";"1";"2";"3";"6";"2";"3";"7";"14";"4";"2";"1";"0";"3";"1";"3";"9";"6";"2";"2";"2";"3";"0";"0";"4";"6";"2";"0";"3";"4";"8";"1";"5";"6";"4";"0";"0";"2";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Anirudhan Sampath";"Attingal";"74.94%";"227";"378";"6";"Kerala";"Communist Party of India (Marxist)";"Elected";"18-May-14";"In office";"Third";"56";"Male";"Professional Post Graduate";"16th";"6";"143";"31";"10";"2";"3";"25";"6";"3";"3";"10";"19";"20";"8";"19";"19";"19";"11";"7";"6";"5";"9";"8";"4";"8";"9";"1";"14";"12";"6";"6";"2";"6";"17";"8";"6";"5";"2";"5";"2";"11";"9";"3";"5";"3";"5";"4";"0";"0";"1";"4";"2";"7";"0";"3";"9";"1";"2";"2";"9";"2";"2";"7";"0";"0";"0";"1";"0";"2";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Anju Bala";"Misrikh";"98.00%";"128";"263";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"39";"Female";"Post Graduate";"16th";"8";"78";"2";"21";"6";"5";"1";"5";"9";"1";"8";"5";"19";"4";"18";"8";"9";"9";"2";"1";"3";"3";"3";"0";"5";"2";"0";"0";"6";"7";"7";"6";"13";"13";"0";"5";"5";"0";"2";"0";"4";"7";"3";"3";"6";"7";"2";"1";"0";"1";"11";"3";"1";"3";"2";"3";"1";"3";"6";"2";"3";"4";"5";"1";"0";"2";"0";"0";"3";"1";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0"
"Anoop Mishra";"Morena";"47.59%";"6";"284";"0";"Madhya Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"62";"Male";"Inter/ Higher Secondary";"16th";"0";"6";"0";"0";"0";"0";"0";"0";"7";"1";"3";"8";"9";"3";"20";"8";"16";"13";"15";"4";"4";"2";"3";"2";"4";"1";"5";"6";"13";"0";"4";"3";"9";"16";"3";"8";"5";"0";"5";"5";"11";"3";"2";"4";"4";"2";"3";"0";"0";"3";"4";"2";"1";"2";"4";"4";"4";"6";"1";"1";"6";"2";"2";"1";"2";"1";"0";"0";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Anshul Verma";"Hardoi";"90.82%";"25";"100";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"44";"Male";"Post Graduate";"16th";"9";"16";"0";"0";"0";"0";"0";"0";"1";"0";"3";"2";"7";"1";"8";"3";"7";"1";"1";"5";"3";"1";"1";"2";"0";"1";"1";"2";"5";"1";"0";"1";"6";"2";"0";"1";"0";"0";"0";"1";"2";"1";"1";"1";"2";"1";"1";"0";"0";"1";"4";"0";"2";"1";"3";"0";"1";"0";"1";"2";"3";"2";"2";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Anto Antony";"Pathanamthitta";"77.35%";"80";"658";"1";"Kerala";"Indian National Congress";"Elected";"18-May-14";"In office";"Second";"61";"Male";"Graduate";"16th";"22";"35";"5";"8";"1";"2";"5";"2";"1";"0";"10";"25";"50";"19";"23";"29";"35";"48";"7";"0";"11";"15";"2";"5";"11";"8";"3";"21";"11";"17";"7";"11";"28";"45";"20";"17";"6";"0";"4";"9";"17";"18";"13";"5";"6";"9";"8";"0";"0";"4";"10";"3";"2";"3";"6";"9";"2";"18";"1";"8";"1";"2";"3";"5";"1";"0";"0";"0";"2";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Anupam Hazra";"Bolpur";"87.47%";"2";"94";"0";"West Bengal";"All India Trinamool Congress";"Elected";"18-May-14";"In office";"First";"36";"Male";"Doctorate";"16th";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"1";"2";"5";"4";"7";"2";"4";"0";"2";"1";"0";"0";"3";"0";"7";"0";"0";"0";"4";"0";"1";"0";"2";"18";"0";"0";"0";"0";"0";"0";"3";"0";"1";"2";"2";"0";"0";"0";"0";"0";"3";"1";"0";"0";"4";"0";"0";"4";"0";"9";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Anupriya Singh Patel";"Mirzapur";"91.00%";"49";"71";"0";"Uttar Pradesh";"Apna Dal";"Elected";"18-May-14";"In office";"First";"37";"Female";"Professional Post Graduate";"16th";"6";"15";"7";"1";"9";"1";"0";"3";"0";"0";"0";"5";"4";"0";"2";"2";"2";"2";"0";"0";"4";"0";"5";"0";"1";"0";"1";"4";"0";"2";"1";"0";"1";"6";"1";"4";"2";"2";"2";"6";"1";"1";"0";"4";"0";"0";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"Anurag Singh Thakur";"Hamirpur";"89.76%";"79";"455";"8";"Himachal Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Third";"44";"Male";"Graduate";"16th";"9";"35";"3";"8";"7";"1";"3";"3";"1";"3";"11";"22";"23";"21";"28";"18";"25";"12";"7";"1";"7";"6";"4";"3";"10";"4";"7";"10";"8";"3";"4";"3";"10";"20";"5";"16";"3";"0";"8";"9";"7";"7";"6";"14";"7";"3";"9";"1";"3";"5";"9";"6";"6";"8";"9";"11";"3";"3";"4";"3";"1";"7";"4";"5";"2";"3";"4";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"A. Anwhar Raajhaa";"Ramanthapuram";"72.12%";"36";"213";"0";"Tamil Nadu";"All India Anna Dravida Munnetra Kazhagam";"Elected";"18-May-14";"In office";"First";"69";"Male";"Graduate";"16th";"9";"15";"4";"2";"1";"3";"0";"1";"0";"2";"1";"13";"9";"9";"14";"9";"10";"2";"0";"3";"4";"5";"1";"0";"5";"10";"0";"4";"5";"8";"3";"2";"11";"14";"3";"8";"8";"0";"3";"3";"4";"2";"1";"1";"1";"2";"0";"1";"0";"3";"4";"1";"0";"1";"2";"3";"1";"1";"3";"7";"2";"1";"1";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Aparupa Poddar (Afrin Ali)";"Arambagh";"82.82%";"83";"67";"0";"West Bengal";"All India Trinamool Congress";"Elected";"18-May-14";"In office";"First";"33";"Female";"Post Graduate";"16th";"29";"19";"9";"14";"5";"2";"1";"3";"0";"0";"2";"2";"2";"2";"3";"1";"3";"2";"4";"5";"4";"0";"0";"1";"1";"1";"0";"1";"1";"1";"2";"1";"0";"6";"1";"0";"1";"0";"1";"4";"1";"1";"3";"0";"0";"1";"0";"0";"0";"0";"3";"0";"1";"0";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"A.P. Jithender Reddy";"Mahabubnagar";"85.12%";"95";"201";"7";"Telangana";"Telangana Rashtra Samithi";"Elected";"18-May-14";"In office";"Second";"64";"Male";"Graduate";"16th";"10";"18";"19";"10";"11";"0";"15";"3";"2";"0";"4";"24";"10";"10";"11";"7";"6";"5";"4";"1";"4";"6";"2";"3";"2";"1";"0";"1";"4";"3";"3";"4";"8";"9";"0";"3";"0";"1";"0";"1";"2";"3";"5";"1";"3";"1";"1";"0";"0";"5";"8";"1";"2";"4";"8";"1";"1";"1";"1";"7";"0";"5";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"2";"2";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0"
"Arjun Charan Sethi";"Bhadrak";"79.29%";"1";"32";"0";"Odisha";"Biju Janata Dal";"Elected";"18-May-14";"In office";"Eighth";"77";"Male";"Post Graduate";"16th";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"2";"0";"2";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"1";"4";"0";"0";"0";"0";"2";"3";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Arjunlal Meena";"Udaipur";"86.18%";"82";"358";"0";"Rajasthan";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"54";"Male";"Post Graduate";"16th";"28";"47";"0";"2";"0";"3";"2";"0";"4";"1";"8";"8";"19";"6";"17";"7";"26";"2";"10";"3";"9";"5";"5";"7";"1";"1";"7";"6";"5";"7";"9";"4";"13";"7";"1";"15";"2";"7";"0";"6";"11";"15";"3";"8";"5";"8";"6";"0";"0";"4";"12";"0";"20";"4";"7";"2";"1";"6";"1";"3";"1";"5";"3";"0";"1";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Arjun Ram Meghwal";"Bikaner";"97.00%";"92";"336";"16";"Rajasthan";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Second";"65";"Male";"Post Graduate";"16th";"16";"48";"1";"11";"4";"2";"5";"3";"0";"3";"5";"9";"17";"9";"12";"10";"14";"8";"6";"5";"7";"4";"10";"4";"9";"3";"1";"14";"9";"8";"4";"5";"4";"15";"7";"5";"3";"9";"2";"8";"11";"8";"8";"4";"6";"10";"5";"0";"0";"0";"0";"0";"3";"0";"6";"5";"2";"7";"7";"6";"2";"1";"4";"3";"5";"2";"1";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Arka Keshari Deo";"Kalahandi";"84.00%";"28";"113";"0";"Odisha";"Biju Janata Dal";"Elected";"18-May-14";"In office";"First";"40";"Male";"Graduate";"16th";"14";"0";"0";"8";"2";"3";"0";"1";"2";"0";"0";"11";"8";"6";"5";"5";"10";"8";"0";"1";"2";"1";"3";"1";"3";"2";"3";"1";"2";"1";"0";"2";"2";"4";"5";"6";"0";"2";"0";"1";"3";"2";"1";"0";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0";"0";"2";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
