"Name";"Constituency";"Minister";"Attendance";"Debates";"Questions";"Private Member Bills";"State";"Party";"Nature of membership";"Start of Term";"End of Term";"No. of Term";"Age";"Gender";"Education";"Comment";"Lok Sabha";"Questions (Ayush)";"Questions (Road Transport And Highways)";"Questions (Consumer Affairs, Food And Public Distribution)";"Questions (Chemicals And Fertilizers)";"Questions (Civil Aviation)";"Questions (Panchayati Raj)";"Questions (Railways)";"Questions (Home Affairs)";"Questions (Health And Family Welfare)";"Questions (Women And Child Development)";"Questions (Jal Shakti)";"Questions (Fisheries, Animal Husbandry And Dairying)";"Questions (Agriculture And Farmers Welfare)";"Questions (Finance)";"Questions (Housing And Urban Affairs)";"Questions (Electronics And Information Technology)";"Questions (Commerce And Industry)";"Questions (Youth Affairs And Sports)";"Questions (Tourism)";"Questions (External Affairs)";"Questions (Atomic Energy)";"Questions (Labour And Employment)";"Questions (Education)";"Debates (Ls - Matters Under (Rule-377))";"Debates (Government Bills)";"Debates (Budget (General))";"Debates (Special Mention)";"Debates (Ls - Short Duration Discussions (Rule-193))";"Debates (Motion Of Thanks On The President'S Address)";"Questions (Corporate Affairs)";"Questions (Rural Development)";"Questions (Law And Justice)";"Questions (Petroleum And Natural Gas)";"Questions (Communication)";"Questions (Ports, Shipping And Waterways)";"Questions (Power)";"Questions (Earth Sciences)";"Questions (Heavy Industries)";"Questions (Micro, Small And Medium Enterprises)";"Questions (Mines)";"Questions (Environment, Forest And Climate Change)";"Questions (Coal)";"Questions (Prime Minister)";"Questions (Statistics And Programme Implementation)";"Debates (Submissions By Members)";"Questions (Planning)";"Questions (Social Justice And Empowerment)";"Questions (Culture)";"Questions (Steel)";"Questions (Tribal Affairs)";"Questions (Defence)";"Questions (Skill Development And Entrepreneurship)";"Questions (Textiles)";"Questions (Science And Technology)";"Questions (Information And Broadcasting)";"Questions (Parliamentary Affairs)";"Questions (Cooperation)";"Questions (New And Renewable Energy)";"Questions (Food Processing Industries)";"Questions (Minority Affairs)";"Questions (Personnel, Public Grievances And Pensions)";"Questions (Space)";"Questions (Development Of North Eastern Region)";"Debates (Private Members' Resolutions)";"Debates (Ls - Calling Attention (Rule-197))";"Debates (Private Members' Bills)"
"Adoor Prakash";"Attingal";"No";"100.00%";"13";"55";"0";"Kerala";"Indian National Congress";"Elected";"09-06-2024";"In Office";"Second Term";"69";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"1.0";"2.0";"2.0";"2.0";"1.0";"0.0";"6.0";"2.0";"2.0";"2.0";"0.0";"1.0";"1.0";"4.0";"2.0";"1.0";"1.0";"0.0";"2.0";"3.0";"0.0";"1.0";"3.0";"5.0";"1.0";"0.0";"5.0";"1.0";"0.0";"0.0";"0.0";"1.0";"3.0";"1.0";"1.0";"0.0";"1.0";"0.0";"2.0";"0.0";"3.0";"0.0";"1.0";"0.0";"1.0";"1.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Gowaal Kagada Padavi";"Nandurbar";"No";"95.00%";"12";"17";"0";"Maharashtra";"Indian National Congress";"Elected";"09-06-2024";"In Office";"First Term";"32";"Male";"Post Graduate and above";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"1.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"2.0";"3.0";"2.0";"3.0";"3.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Afzal Ansari";"Ghazipur";"No";"80.00%";"1";"0";"0";"Uttar Pradesh";"Samajwadi Party";"Elected";"09-06-2024";"In Office";"Third Term";"71";"Male";"Post Graduate and above";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Aga Syed Ruhullah Mehdi";"Srinagar";"No";"100.00%";"7";"7";"0";"Jammu and Kashmir";"Jammu and Kashmir National Conference";"Elected";"09-06-2024";"In Office";"First Term";"48";"Male";"Upto Higher Secondary";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"1.0";"3.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Ajay Bhatt";"Nainital-Udhamsingh Nagar";"No";"85.00%";"11";"14";"0";"Uttarakhand";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"Second Term";"63";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"3.0";"1.0";"0.0";"0.0";"0.0";"1.0";"2.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"3.0";"1.0";"2.0";"4.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Ajay Kumar Mandal";"Bhagalpur";"No";"25.00%";"0";"32";"0";"Bihar";"Janata Dal (United)";"Elected";"09-06-2024";"In Office";"Second Term";"46";"Male";"Upto Higher Secondary";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"1.0";"1.0";"0.0";"1.0";"1.0";"0.0";"2.0";"1.0";"2.0";"0.0";"1.0";"0.0";"3.0";"0.0";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"5.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"2.0";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"2.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Ajay Tamta";"Almora";"Yes";"";"0";"0";"0";"Uttarakhand";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"Third Term";"52";"Male";"Graduate";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Ajendra Singh Lodhi";"Hamirpur";"No";"60.00%";"0";"0";"0";"Uttar Pradesh";"Samajwadi Party";"Elected";"09-06-2024";"In Office";"Fifth Term";"54";"Male";"Upto Higher Secondary";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Akhilesh Yadav";"Kannauj";"No";"35.00%";"6";"0";"0";"Uttar Pradesh";"Samajwadi Party";"Elected";"09-06-2024";"In Office";"Fifth Term";"51";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"2.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Akshay Yadav";"Firozabad";"No";"95.00%";"0";"0";"0";"Uttar Pradesh";"Samajwadi Party";"Elected";"09-06-2024";"In Office";"Second Term";"38";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Alfred Kanngam S Arthur";"Outer Manipur";"No";"55.00%";"2";"0";"0";"Manipur";"Indian National Congress";"Elected";"09-06-2024";"In Office";"First Term";"51";"Male";"Upto Higher Secondary";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Alok Kumar Suman";"Gopalganj";"No";"100.00%";"18";"51";"3";"Bihar";"Janata Dal (United)";"Elected";"09-06-2024";"In Office";"Second Term";"67";"Male";"Post Graduate and above";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"2.0";"3.0";"1.0";"1.0";"1.0";"0.0";"7.0";"0.0";"1.0";"0.0";"1.0";"0.0";"2.0";"1.0";"2.0";"0.0";"0.0";"1.0";"3.0";"3.0";"0.0";"0.0";"4.0";"7.0";"3.0";"5.0";"1.0";"1.0";"1.0";"1.0";"1.0";"0.0";"3.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"2.0";"0.0";"0.0";"2.0";"2.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Alok Sharma";"Bhopal";"No";"90.00%";"7";"27";"0";"Madhya Pradesh";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"First Term";"57";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"3.0";"0.0";"0.0";"1.0";"2.0";"0.0";"3.0";"0.0";"1.0";"2.0";"2.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"1.0";"0.0";"2.0";"0.0";"1.0";"3.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"2.0";"0.0";"0.0";"1.0";"2.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Amar Sharadrao Kale";"Wardha";"No";"85.00%";"2";"41";"0";"Maharashtra";"Nationalist Congress Party Sharadchandra Pawar";"Elected";"09-06-2024";"In Office";"First Term";"51";"Male";"Upto Higher Secondary";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"4.0";"3.0";"1.0";"0.0";"2.0";"0.0";"4.0";"4.0";"2.0";"2.0";"4.0";"1.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"2.0";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"3.0";"1.0";"0.0";"2.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
