"Date of introduction";"Bill title";"Current Status";"Date - Passage / Withdrawal /Lapsing";"Representative"
"2012-12-07";"The Indian Penal Code (Amendment) Bill, 2012 (Substitution of new section for section 124A)";"Pending";"";"Baijayant Jay Panda"
"2012-08-09";"The Pre-conception and Pre-natal Diagnostic Techniques (Prohibition of Sex Selection) Amendment Bill, 2012 (Amendment of section 2, etc.)";"Pending";"";"Baijayant Jay Panda"
"2012-04-27";"The Phased Incorporation of Cash Transfers in Public Distribution System Bill, 2011";"Pending";"";"Baijayant Jay Panda"
"2009-12-04";"The Constitution (Amendment) Bill, 2009 (Amendment of article 275)";"Pending";"";"Baijayant Jay Panda"
"2009-12-04";"The Illegal Immigrants and Overstaying Foreign Nationals (Identification and Deportation) Bill, 2009";"Withdrawn";"2011-03-11";"Baijayant Jay Panda"
"2009-12-04";"The Promotion of Two Child Norm Bill, 2009";"Pending";"";"Baijayant Jay Panda"
"2009-07-03";"The Citizens Affected by Cyclone, Super Cyclone or Tsunami in Coastal Areas (Compensation, Rehabilitation and Welfare) Bill, 2009";"Pending";"";"Baijayant Jay Panda"
"2009-07-03";"The Persons Affected by Naxalite Terrorism (Relief and Rehabilitation) Bill, 2009";"Pending";"";"Baijayant Jay Panda"
"2009-07-03";"The Prevention of Unsolicited Telephonic Calls and Protection of Privacy Bill, 2009";"Pending";"";"Baijayant Jay Panda"
"2009-07-03";"The Underdeveloped and Backward Areas and Regions (Special Provisions for Accelerated Development) Bill, 2009";"Withdrawn";"2009-12-04";"Baijayant Jay Panda"
"2011-02-25";"The Post-Polio Syndrome (Education, Training and Awareness) Bill, 2010";"Pending";"";"Balkrishna Khanderao Shukla"
"2013-02-22";"The Old Age Pension Bill, 2012";"Pending";"";"Basudeb Acharia"
"2009-12-04";"The Constitution (Amendment) Bill, 2009 (Insertion of new article 16A)";"Pending";"";"Basudeb Acharia"
"2009-12-04";"The Insurance Agents Welfare Bill, 2009";"Pending";"";"Basudeb Acharia"
"2009-07-31";"The Constitution (Amendment) Bill, 2009 (Insertion of new article 21B)";"Pending";"";"Basudeb Acharia"
"2009-07-31";"The Constitution (Andaman and Nicobar Islands) Scheduled Tribes Order (Amendment) Bill, 2009 (Amendment of the Schedule)";"Pending";"";"Basudeb Acharia"
"2009-07-31";"The Constitution (Scheduled Castes) Order (Amendment) Bill, 2009 (Amendment of the Schedule)";"Pending";"";"Basudeb Acharia"
"2009-07-31";"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 2009 (Amendment of Schedule)";"Pending";"";"Basudeb Acharia"
"2011-09-02";"The Eradication of Malnutrition Bill, 2011";"Pending";"";"Bhakta Charan Das"
"2012-12-07";"The Water (Prevention and Control of Pollution) Amendment Bill, 2012 (Amendment of section 2, etc.)";"Pending";"";"Bhartruhari Mahtab"
"2013-03-08";"The Child Welfare Bill, 2013";"Pending";"";"Bhola Singh"
"2013-03-08";"The Compulsory Military Training Bill, 2013";"Pending";"";"Bhola Singh"
"2013-03-08";"The Indian Penal Code (Amendment) Bill, 2013 (Amendment of section 304A, etc.)";"Pending";"";"Bhola Singh"
"2012-12-07";"The Constitution (Amendment) Bill, 2012 (Amendment of article 58, etc.)";"Pending";"";"Bhola Singh"
"2012-12-07";"The Constitution (Amendment) Bill, 2012 (Insertion of new article 31)";"Pending";"";"Bhola Singh"
"2012-12-07";"The Protection of Human Rights (Amendment) Bill, 2012 (Amendment of section 2, etc.)";"Pending";"";"Bhola Singh"
"2012-12-07";"The Sanskrit Language (Compulsory Teaching in Schools) Bill, 2012";"Pending";"";"Bhola Singh"
"2012-04-27";"The Constitution (Amendment) Bill, 2012 (Insertion of new article 22A)";"Pending";"";"Bhola Singh"
"2012-04-27";"The Rural Electrification Bill, 2012";"Pending";"";"Bhola Singh"
"2011-08-19";"The University of Patna Bill, 2011";"Withdrawn";"2012-04-27";"Bhola Singh"
"2012-12-07";"The Constitution (Amendment) Bill, 2012 (Amendment of the Eighth Schedule)";"Pending";"";"Bhoopendra Singh"
"2012-12-07";"The Mahatma Gandhi National Rural Employment Guarantee (Amendment) Bill, 2012 (Amendment of section 12, etc.)";"Pending";"";"Bhoopendra Singh"
"2012-12-07";"The Prevention of Corruption (Amendment) Bill, 2012 (Amendment of sections 7, 17 and 19)";"Pending";"";"Bhoopendra Singh"
"2012-12-07";"The Right to Information (Amendment) Bill, 2011 (Amendment of sections 7 and 20)";"Pending";"";"Bhoopendra Singh"
"2012-04-27";"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 2011 (Amendment of Part II)";"Pending";"";"Bijoya Chakravarty"
"2012-04-27";"The Prevention of Influx of Foreign Nationals into the Country Bill, 2011";"Pending";"";"Bijoya Chakravarty"
"2011-02-25";"The Prohibition on Religious Conversion Bill, 2011";"Pending";"";"Bijoya Chakravarty"
"2011-02-25";"The Public Employment (Recruitment) Bill, 2011";"Pending";"";"Bijoya Chakravarty"
"2012-08-09";"The Government of Union Territory of Andaman and Nicobar Islands Bill, 2012";"Pending";"";"Bishnu Pada Ray"
"2012-12-07";"The Compulsory Voting Bill, 2012";"Pending";"";"Chandrakant Bhaurao Khaire"
"2012-12-07";"The Cotton Growers Welfare Bill, 2012";"Pending";"";"Chandrakant Bhaurao Khaire"
"2012-12-07";"The Provision of Compensation to Farmers Affected by Natural Calamities Bill, 2012";"Pending";"";"Chandrakant Bhaurao Khaire"
"2012-12-07";"The Victims of Terrorism (Provision of Compensation and Welfare Measures) Bill, 2012";"Pending";"";"Chandrakant Bhaurao Khaire"
"2011-02-25";"The Cow (Protection) Bill, 2010";"Pending";"";"Chandrakant Bhaurao Khaire"
"2011-09-02";"The Constitution (Amendment) Bill, 2011 (Insertion of new articles 21B, 21C and 21D)";"Pending";"";"C. R. Patil"
"2011-09-02";"The Special Financial Assistance to the State of Gujarat Bill, 2011";"Pending";"";"C. R. Patil"
"2012-04-27";"The Constitution (Amendment) Bill, 2012 (Amendment of article 85)";"Pending";"";"Deepender Singh Hooda"
"2013-03-08";"The Prevention of Bribery in Private Sector Bill, 2012";"Pending";"";"Feroze Varun Gandhi"
"2010-04-30";"The Indian Medical Council (Amendment) Bill, 2009 (Insertion of new section 23A)";"Pending";"";"Feroze Varun Gandhi"
"2009-07-03";"The Prevention of Cruelty to Animals (Amendment) Bill, 2009 (Amendment of section 11, etc.)";"Withdrawn";"2009-12-04";"Francisco Sardinha"
"2010-08-13";"The Flood Control Bill, 2009";"Pending";"";"Gangasandra Siddappa Basavaraj"
"2010-08-13";"The Sculptors, Artists and Artisans of Rural Areas Welfare Bill, 2009";"Pending";"";"Gangasandra Siddappa Basavaraj"
"2013-03-08";"The Lakshadweep Coconut Tree Climbers (Welfare) Bill, 2012";"Pending";"";"Hamdullah Sayeed"
"2012-08-09";"The Lakshadweep Fishermen (Welfare) Bill, 2012";"Pending";"";"Hamdullah Sayeed"
"2013-03-08";"The Constitution (Amendment) Bill, 2013 (Amendment of the Eighth Schedule)";"Pending";"";"Hansraj Gangaram Ahir"
"2013-03-08";"The Constitution (Amendment) Bill, 2013 (Insertion of new article 72A)";"Pending";"";"Hansraj Gangaram Ahir"
"2013-03-08";"The Constitution (Amendment) Bill, 2013 (Insertion of new articles 16A and 16AA)";"Pending";"";"Hansraj Gangaram Ahir"
"2013-03-08";"The Fodder Bank Bill, 2013";"Pending";"";"Hansraj Gangaram Ahir"
"2012-12-07";"The National Solar Energy Authority Bill, 2012";"Pending";"";"Hansraj Gangaram Ahir"
"2012-12-07";"The Naxal Affected States Development Council Bill, 2012";"Pending";"";"Hansraj Gangaram Ahir"
"2012-12-07";"The Persons Living Below Poverty Line (Reservation of Vacancies in Posts and Services) Bill, 2012";"Pending";"";"Hansraj Gangaram Ahir"
"2012-04-27";"The Mentally Retarded Children (Welfare) Bill, 2012";"Pending";"";"Hansraj Gangaram Ahir"
"2012-04-27";"The Compulsory Sports Education in Schools Bill, 2011";"Pending";"";"Hansraj Gangaram Ahir"
"2012-04-27";"The Constitution (Amendment) Bill, 2011 (Amendment of article 370)";"Pending";"";"Hansraj Gangaram Ahir"
"2012-04-27";"The Constitution (Amendment) Bill, 2012 (Amendment of the Seventh Schedule)";"Pending";"";"Hansraj Gangaram Ahir"
"2011-08-19";"The Commission for Imparting Science, Engineering and Medical Sciences Education in Indian Languages Bill, 2011";"Pending";"";"Hansraj Gangaram Ahir"
"2011-08-19";"The Constitution (Scheduled Tribes) order (Amendment) Bill, 2011 (Amendment of the Schedule)";"Pending";"";"Hansraj Gangaram Ahir"
"2011-08-19";"The Cow Protection Authority Bill, 2011";"Pending";"";"Hansraj Gangaram Ahir"
"2011-03-11";"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 2010 (Amendment of the Schedule)";"Pending";"";"Hansraj Gangaram Ahir"
"2011-03-11";"The Mahatma Gandhi National Rural Employment guarantee (Amendment) Bill, 2010 (Amendment of section 2, etc.)";"Withdrawn";"2013-03-08";"Hansraj Gangaram Ahir"
"2011-03-11";"The Constitution (Scheduled Castes) Order (Amendment) Bill, 2010";"Pending";"";"Hansraj Gangaram Ahir"
"2011-03-11";"The Sculptors, Artists and Artisans of Rural Areas Welfare Bill, 2010";"Pending";"";"Hansraj Gangaram Ahir"
"2010-08-13";"The Displaced Farmers (Rehabilitation and Other Facilities) Bill, 2010";"Pending";"";"Hansraj Gangaram Ahir"
"2010-08-13";"The Commission for the Formation of the State of Vidarbha Bill, 2010";"Pending";"";"Hansraj Gangaram Ahir"
"2010-08-13";"The Mahatma Gandhi National Rural Employment Guarantee (Amendment) Bill, 2010 (Amendment of section 6)";"Pending";"";"Hansraj Gangaram Ahir"
"2010-08-13";"The Anganwadi Workers (Regularisation of Service and Other Benefits) Bill, 2010";"Pending";"";"Hansraj Gangaram Ahir"
"2010-03-05";"The Scheduled Tribes and Other Traditional Forest Dwellers (Recognition of Forest Rights) Amendment Bill, 2009 (Amendment of section 2)";"Pending";"";"Hansraj Gangaram Ahir"
"2010-03-05";"The Cotton Growers (Remunerative Price and Welfare) Bill, 2009";"Pending";"";"Hansraj Gangaram Ahir"
"2010-03-05";"The Forest Produce Management Board Bill, 2010";"Pending";"";"Hansraj Gangaram Ahir"
"2010-03-05";"The Forest (Conservation) Amendment Bill, 2009 (Insertion of new section 3C)";"Pending";"";"Hansraj Gangaram Ahir"
"2009-12-04";"The Special Irrigation Development Fund (For Forest Areas) Bill, 2009";"Pending";"";"Hansraj Gangaram Ahir"
"2009-07-31";"The Payment of Subsistence Allowance to Farmers and Agricultural Labourers Bill, 2009";"Pending";"";"Hansraj Gangaram Ahir"
"2009-07-31";"The Agricultural Land Acquisition Regulatory Authority Bill, 2009";"Pending";"";"Hansraj Gangaram Ahir"
"2009-07-31";"The Consumer Goods (Mandatory Printing of Cost of Production and Maximum Retail Price) Bill, 2009";"Pending";"";"Hansraj Gangaram Ahir"
"2009-07-31";"The Constitution (Amendment) Bill, 2009 (Amendment of Article 130)";"Pending";"";"Hansraj Gangaram Ahir"
"2011-02-25";"The Food Safety and Standards (Amendment) Bill, 2011 (Insertion of new Section 19A)";"Pending";"";"Haribhau Madhav Jawale"
"2009-12-04";"The Constitution (Amendment) Bill, 2009 (Insertion of new Article 371J)";"Pending";"";"Inder Singh Namdhari"
"2009-12-04";"The Special Financial Assistance to the State of Jharkhand Bill, 2009";"Pending";"";"Inder Singh Namdhari"
"2012-04-27";"The Backward Areas Development Board Bill, 2011";"Pending";"";"Jagdambika Pal"
"2012-04-27";"The National Commission for Horticulture Development Bill, 2011";"Pending";"";"Jagdambika Pal"
"2012-04-27";"The Pre-Examination Coaching Centres Regulatory Authority Bill, 2011";"Pending";"";"Jagdambika Pal"
"2010-04-30";"The Central Universities (Conditions of Service of Non-Teaching Staff) Bill, 2010";"Pending";"";"Jagdambika Pal"
"2013-03-08";"The Cinematograph (Amendment) Bill, 2013 (Amendment of section 2, etc.)";"Pending";"";"Jai Prakash Agarwal"
"2013-03-08";"The Bureau of Accountability Bill, 2013";"Pending";"";"Jai Prakash Agarwal"
"2013-03-08";"The Constitution (Amendment) Bill, 2013 (Insertion of new article 30A)";"Pending";"";"Jai Prakash Agarwal"
"2012-12-07";"The Electricity (Priority Supply to Metropolitan Areas) Bill, 2012";"Pending";"";"Jai Prakash Agarwal"
"2012-12-07";"The Establishment of Schools upto Senior Secondary Level Bill, 2012";"Pending";"";"Jai Prakash Agarwal"
"2012-12-07";"The Constitution (Amendment) Bill, 2012 (Amendment of article 214)";"Pending";"";"Jai Prakash Agarwal"
"2011-02-25";"The Constitution (Amendment) Bill, 2010 (Amendment of article 19)";"Pending";"";"Jai Prakash Agarwal"
"2011-02-25";"The Representation of the People (Amendment) Bill, 2010 (Insertion of new section 29AA)";"Pending";"";"Jai Prakash Agarwal"
"2011-02-25";"The Provision of Social Security to Senior Citizens Bill, 2010";"Withdrawn";"2013-02-22";"Jai Prakash Agarwal"
"2010-08-13";"The Constitution (Amendment) Bill, 2010 (Amendment of the Eighth Schedule)";"Pending";"";"Jai Prakash Agarwal"
"2010-08-13";"The Constitution (Amendment) Bill, 2010 (Substitution of new article for article 48A)";"Pending";"";"Jai Prakash Agarwal"
"2010-08-13";"The Representation of the People (Amendment) Bill, 2010 (Insertion of new section 29AA)";"Pending";"";"Jai Prakash Agarwal"
"2010-03-05";"The Cultural Heritage Conservation Bill, 2010";"Pending";"";"Jai Prakash Agarwal"
"2010-03-05";"The Working Journalists and Other Newspaper Employees (Conditions of Service) and Miscellaneous Provisions (Amendment) Bill, 2010 (Insertion of new sections 13AB, 13AC and 13AD)";"Pending";"";"Jai Prakash Agarwal"
"2010-03-05";"The Uniform Education Bill, 2010";"Pending";"";"Jai Prakash Agarwal"
"2009-12-04";"The Youth Welfare Bill, 2009";"Pending";"";"Jai Prakash Agarwal"
"2009-12-04";"The Prevention of Insults to National Honour (Amendment) Bill, 2009 (Insertion of new section 4)";"Pending";"";"Jai Prakash Agarwal"
"2009-12-04";"The Eradication of Unemployment Bill, 2009";"Pending";"";"Jai Prakash Agarwal"
"2009-12-04";"The Electricity (Compulsory Supply to Katras and Densely Populated Areas) Bill, 2009";"Pending";"";"Jai Prakash Agarwal"
"2009-07-17";"The Freedom Fighters and their Families (Welfare) Bill, 2009";"Pending";"";"Jai Prakash Agarwal"
"2009-07-17";"The Free and Compulsory Education Bill, 2009";"Pending";"";"Jai Prakash Agarwal"
"2009-07-17";"The Compulsory Voting Bill, 2009";"Withdrawn";"2010-08-13";"Jai Prakash Agarwal"
"2009-07-17";"The Destitute Women and Widows Welfare Bill, 2009";"Pending";"";"Jai Prakash Agarwal"
"2012-04-27";"The Right to Information (Amendment) Bill, 2012 (Amendment of section 2, etc.)";"Pending";"";"Jayant Chaudhary"
"2011-08-05";"The Land Acquisition Bill, 2011";"Pending";"";"Jayant Chaudhary"
"2012-08-09";"The Prohibition of Human Trafficking of Indian Citizens Abroad and Welfare of Overseas Indians Bill, 2012";"Pending";"";"Jayshreeben Kanubhai Patel"
"2012-12-07";"The Promotion of Small Family Bill, 2010";"Pending";"";"Jhansi Botcha Lakshmi"
"2012-12-07";"The Women (Reservation in Services) Bill, 2012";"Pending";"";"Jhansi Botcha Lakshmi"
"2012-04-27";"The Citizenship (Amendment) Bill, 2012 (Amendment of section 5)";"Pending";"";"Kabindra Purkayastha"
"2013-03-08";"The Jute Growers (Remunerative Price and Welfare) Bill, 2013";"Pending";"";"Kakoli Ghosh Dastidar"
"2013-03-08";"The Disclosure of Lobbying Activities Bill, 2013";"Pending";"";"Kalikesh Narayan Singh Deo"
"2012-12-07";"The Climate Change Bill, 2012";"Pending";"";"Kalikesh Narayan Singh Deo"
"2010-03-05";"The Constitution (Scheduled Castes) Order (Amendment) Bill, 2009 (Amendment of the Schedule)";"Pending";"";"K.C. Singh Baba"
"2010-03-05";"The Meritorious Students (Assistance in Higher Studies) Bill, 2009";"Pending";"";"K.C. Singh Baba"
"2010-03-05";"The Special Financial Assistance to the State of Uttarakhand Bill, 2009";"Pending";"";"K.C. Singh Baba"
"2009-07-31";"The Central Himalayan States Development Council Bill, 2009";"Pending";"";"K.C. Singh Baba"
"2009-07-31";"The Constitution (Amendment) Bill, 2009 (Amend- ment of article 51A)";"Pending";"";"K.C. Singh Baba"
"2009-07-31";"The Council for Environment Protection Bill, 2009";"Pending";"";"K.C. Singh Baba"
"2010-08-13";"The High Court of Tripura Bill, 2010";"Lapsed";"2012-05-22";"Khagen Das"
"2013-03-08";"The Indian Penal Code (Amendment) Bill, 2012 (Insertion of new section 304AA)";"Pending";"";"Kirit Premjibhai Solanki"
"2012-08-09";"The HIV/AIDS Bill, 2012";"Pending";"";"Kirit Premjibhai Solanki"
"2012-04-27";"The Compulsory Medical Preparedness in Schools Bill, 2012";"Pending";"";"Kirit Premjibhai Solanki"
"2012-04-27";"The Prohibition of Indecent Advertisements Bill, 2012";"Pending";"";"Kirit Premjibhai Solanki"
"2012-04-27";"The Prohibition on Use of Coercive Methods for Recovery of Bank Loans Bill, 2012";"Pending";"";"Kirit Premjibhai Solanki"
"2011-08-19";"The Constitution (Amendment) Bill, 2011 (Amendment of article 72)";"Pending";"";"Kirit Premjibhai Solanki"
"2011-08-19";"The Gutka and Pan Masala (Prohibition) Bill, 2011";"Pending";"";"Kirit Premjibhai Solanki"
"2011-02-25";"The Closed Textile Mills Workers (Welfare and Rehabilitation) Bill, 2010";"Pending";"";"Kirit Premjibhai Solanki"
"2011-02-25";"The Commissions of Inquiry (Amendment) Bill, 2010 (Amendment of section 3)";"Pending";"";"Kirit Premjibhai Solanki"
"2011-02-25";"The Eradication of Unemployment Amongst the Youth Belonging to the Scheduled Castes and the Scheduled Tribes Bill, 2010";"Pending";"";"Kirit Premjibhai Solanki"
"2012-04-27";"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 2011 (Amendment of the Schedule)";"Pending";"";"K. Murugesan Anandan"
"2012-12-07";"The Farmers Welfare Bill, 2012";"Pending";"";"Madhusudan Yadav"
"2013-02-22";"The Electronic Waste (Handling and Disposal) Bill, 2013";"Pending";"";"Mahendrasinh Pruthvisinh Chauhan"
"2013-02-22";"The Environment Protection (Control of Non-Biodegradable Garbage) Bill, 2013";"Pending";"";"Mahendrasinh Pruthvisinh Chauhan"
"2013-02-22";"The Removal of Homelessness Bill, 2013";"Pending";"";"Mahendrasinh Pruthvisinh Chauhan"
"2013-02-22";"The Indecent or Surrogate Advertisements and Remix Songs (Prohibition) Bill, 2013";"Pending";"";"Mahendrasinh Pruthvisinh Chauhan"
"2012-12-07";"The Agricultural Produce (Remunerative Support Prices and Miscellaneous Provisions) Bill, 2012";"Pending";"";"Mahendrasinh Pruthvisinh Chauhan"
"2012-12-07";"The Free Educational and Hostel Facilities to Students Belonging to the Scheduled Castes, the Scheduled Tribes and Economically Weaker Class Bill, 2012";"Pending";"";"Mahendrasinh Pruthvisinh Chauhan"
"2012-12-07";"The Poverty Stricken and Backward Regions (Development) Bill, 2012";"Pending";"";"Mahendrasinh Pruthvisinh Chauhan"
"2012-12-07";"The Prevention of Cruelty to Animals (Amendment) Bill, 2012 (Amendment of section 38)";"Pending";"";"Mahendrasinh Pruthvisinh Chauhan"
"2012-08-09";"The Rural Labour Welfare Fund Bill, 2012";"Pending";"";"Mahendrasinh Pruthvisinh Chauhan"
"2012-08-09";"The Food Safety and Standards (Amendment) Bill, 2012 (Insertion of new sections 59A and 59B)";"Pending";"";"Mahendrasinh Pruthvisinh Chauhan"
"2012-08-09";"The Glorification of Alcoholic Beverages in Motion Pictures (Prohibition) Bill, 2012";"Pending";"";"Mahendrasinh Pruthvisinh Chauhan"
